LWR	fract	aLWR	afract	taxopath
1027	0.01336	7.689e+04	1	Eukaryota
2856	0.03714	3.351e+04	0.4358	Eukaryota;Alveolata
0	0	2.487e+04	0.3234	Eukaryota;Alveolata;Apicomplexa
0	0	814.7	0.0106	Eukaryota;Alveolata;Alveolata_X
2622	0.0341	4593	0.05973	Eukaryota;Alveolata;Ciliophora
27.7	0.0003602	361.1	0.004696	Eukaryota;Alveolata;Dinophyta
0	0	16.81	0.0002186	Eukaryota;Alveolata;Perkinsea
8.259	0.0001074	1715	0.0223	Eukaryota;Archaeplastida
72.17	0.0009386	262.2	0.00341	Eukaryota;Archaeplastida;Rhodophyta
800.4	0.01041	1437	0.01869	Eukaryota;Archaeplastida;Chlorophyta
0.3635	4.727e-06	1.915	2.49e-05	Eukaryota;Archaeplastida;Streptophyta
0	0	4.999	6.501e-05	Eukaryota;Archaeplastida;Cryptophyta-nucleomorph
406.3	0.005284	6174	0.0803	Eukaryota;Excavata
0	0	4957	0.06446	Eukaryota;Excavata;Metamonada2
317.3	0.004127	722.3	0.009394	Eukaryota;Excavata;Discoba
0	0	10.92	0.000142	Eukaryota;Excavata;Malawimonadidae
0	0	73.58	0.0009569	Eukaryota;Excavata;Excavata_X
0	0	4.511	5.867e-05	Eukaryota;Excavata;Metamonada
59.81	0.0007778	1.016e+04	0.1321	Eukaryota;Amoebozoa
0	0	4065	0.05287	Eukaryota;Amoebozoa;Conosa
17.58	0.0002286	6032	0.07845	Eukaryota;Amoebozoa;Lobosa
73.96	0.0009619	1.992e+04	0.2591	Eukaryota;Rhizaria
4201	0.05464	1.844e+04	0.2398	Eukaryota;Rhizaria;Cercozoa
509	0.00662	1408	0.01832	Eukaryota;Rhizaria;Radiolaria
0	0	132.2	0.001719	Eukaryota;Centrohelida
0	0	132.2	0.001719	Eukaryota;Centrohelida;Centroheliozoa
124.9	0.001625	2520	0.03278	Eukaryota;Stramenopiles
121.6	0.001582	1547	0.02012	Eukaryota;Stramenopiles;Stramenopiles_X
307.7	0.004001	848	0.01103	Eukaryota;Stramenopiles;Ochrophyta
13.09	0.0001702	43.75	0.000569	Eukaryota;Planomonads_Breviates
0	0	16.32	0.0002123	Eukaryota;Planomonads_Breviates;Breviatea
0	0	8.153	0.000106	Eukaryota;Planomonads_Breviates;Mantamonadidea
0	0	6.188	8.047e-05	Eukaryota;Planomonads_Breviates;Hilomonadea
0	0	8.407	0.0001093	Eukaryota;Namako
0	0	7.027	9.139e-05	Eukaryota;Namako;Namako
0	0	1.379	1.794e-05	Eukaryota;Namako;Namako-1-lineage_X
127	0.001652	994.4	0.01293	Eukaryota;Holomycota
169.6	0.002206	617.5	0.008031	Eukaryota;Holomycota;Fungi
0	0	84.07	0.001093	Eukaryota;Holomycota;Fonticulea
0	0	165.8	0.002156	Eukaryota;Holomycota;Nucleariidea
30.83	0.000401	376.5	0.004896	Eukaryota;Holozoa
0	0	117.7	0.001531	Eukaryota;Holozoa;Choanoflagellida
27.28	0.0003547	48.13	0.0006259	Eukaryota;Holozoa;Metazoa
0	0	167.1	0.002174	Eukaryota;Holozoa;Mesomycetozoa
0	0	6.963	9.055e-05	Eukaryota;Holozoa;Filasterea
0	0	5.702	7.415e-05	Eukaryota;Holozoa;Corallochytrea
0.2588	3.366e-06	97.31	0.001266	Eukaryota;Hacrobia
0	0	34.26	0.0004455	Eukaryota;Hacrobia;Hacrobia
0	0	10.74	0.0001397	Eukaryota;Hacrobia;Telonemia
0	0	39.81	0.0005177	Eukaryota;Hacrobia;Cryptophyta
7.928	0.0001031	11.96	0.0001556	Eukaryota;Hacrobia;Haptophyta
0	0	0.2785	3.622e-06	Eukaryota;Hacrobia;Katablepharidophyta
0	0	53.83	0.0007	Eukaryota;Rigifilida
0	0	53.83	0.0007	Eukaryota;Rigifilida;Rigifilida_X
0	0	48.72	0.0006337	Eukaryota;Diphyllatea
35.4	0.0004604	48.72	0.0006337	Eukaryota;Diphyllatea;Diphyllatea_X
0	0	115.4	0.0015	Eukaryota;Apusozoa
0	0	115.4	0.0015	Eukaryota;Apusozoa;Apusomonadidae
0	0	0.9259	1.204e-05	Eukaryota;Glaucophyta
0	0	0.9259	1.204e-05	Eukaryota;Glaucophyta;Glaucophyta
